id,label,text_clean
5.70306e+17,neutral, what dhepburn said
5.70301e+17,positive, plus youve added commercials to the experience tacky
5.70301e+17,neutral, i didnt today must mean i need to take another trip
5.70301e+17,negative, its really aggressive to blast obnoxious entertainment in your guests faces amp they have little recourse
5.70301e+17,negative, and its a really big bad thing about it
5.70301e+17,negative, seriously would pay 30 a flight for seats that didnt have this playing its really the only bad thing about flying va
5.70301e+17,positive, yes nearly every time i fly vx this ear worm wont go away
5.703e+17,neutral, really missed a prime opportunity for men without hats parody there
5.703e+17,positive, well i didntbut now i do d
5.70295e+17,positive, it was amazing and arrived an hour early youre too good to me
5.70294e+17,neutral, did you know that suicide is the second leading cause of death among teens 1024
5.7029e+17,positive, i lt3 pretty graphics so much better than minimal iconography d
5.7029e+17,positive, this is such a great deal already thinking about my 2nd trip to australia amp i havent even gone on my 1st trip yet p
5.70287e+17,positive, virginmedia im flying your fabulous seductive skies again u take all the stress away from travel
5.70286e+17,positive, thanks
5.70282e+17,negative, sfopdx schedule is still mia
5.70278e+17,positive, so excited for my first cross country flight lax to mco ive heard nothing but great things about virgin america 29daystogo
5.70277e+17,negative,  i flew from nyc to sfo last week and couldnt fully sit in my seat due to two large gentleman on either side of me help
5.70271e+17,positive,i  flying 
5.70268e+17,positive, you know what would be amazingly awesome bosfll please i want to fly with only you
5.70266e+17,negative, why are your first fares in may over three times more than other carriers when all seats are available to select
5.70264e+17,positive, i love this graphic
5.70259e+17,positive, i love the hipster innovation you are a feel good brand
5.70259e+17,neutral, will you be making bosgtlas non stop permanently anytime soon
5.70257e+17,negative, you guys messed up my seating i reserved seating with my friends and you guys gave my seat away   i want free internet
5.70249e+17,negative, status match program  i applied and its been three weeks  called and emailed with no response
5.7024e+17,negative, what happened 2 ur vegan food options at least say on ur site so i know i wont be able 2 eat anything for next 6 hrs fail
5.70218e+17,neutral, do you miss me dont worry well be together very soon
5.70208e+17,negative, amazing to me that we cant get any cold air from the vents vx358 noair worstflightever roasted sfotobos
5.70125e+17,neutral, lax to ewr  middle seat on a red eye such a noob maneuver sendambien andchexmix
5.70114e+17,negative, hi i just bked a cool birthday trip with you but i cant add my elevate no cause i entered my middle name during flight booking problems
5.70095e+17,neutral, are the hours of operation for the club at sfo that are posted online current
5.70088e+17,negative, help left expensive headphones on flight 89 iad to lax today seat 2a no one answering lampf number at lax
5.70085e+17,negative, awaiting my return phone call just would prefer to use your online selfservice option
5.70077e+17,positive, this is great news  america could start flights to hawaii by end of year  via pacificbiznews
5.70052e+17,neutral,nice rt  vibe with the moodlight from takeoff to touchdown moodlitmonday sciencebehindtheexperience
5.70051e+17,positive, moodlighting is the only way to fly best experience ever cool and calming  moodlitmonday
5.70045e+17,positive, freddieawards done and done best airline around hands down
5.70039e+17,neutral, when can i book my flight to hawaii
5.70036e+17,negative, your chat support is not working on your site
5.70034e+17,positive, view of downtown los angeles the hollywood sign and beyond that rain in the mountains
5.70025e+17,negative, hey first time flyer next week  excited but im having a hard time getting my flights added to my elevate account help
5.70016e+17,neutral, plz help me win my bid upgrade for my flight 227 laxgtsea
5.70015e+17,neutral, i have an unused ticket but moved to a new city where you dont fly how can i fly with you before it expires travelhelp
5.70014e+17,neutral, are flights leaving dallas for seattle on time feb 24
5.70012e+17,positive, im elevategold for a good reason you rock
5.70011e+17,neutral,  dream
5.70011e+17,positive, wow this just blew my mind
5.70011e+17,neutral, ladygaga carrieunderwood after last night tribute soundofmusic oscars2015 ladygaga i think carrieunderwood agree
5.7001e+17,neutral, ladygaga carrieunderwood all were entertaining
5.70009e+17,neutral, is flight 769 on its way was supposed to take off 30 minutes ago website still shows on time not in flight thanks
5.70007e+17,positive, ladygaga carrieunderwood julie andrews all the way though ladygaga was very impressive no to carrieunderwood
5.70004e+17,neutral, wish you flew out of atlanta soon
5.70001e+17,neutral, ladygaga carrieunderwood julie andrews hands down
5.7e+17,neutral, will flights be leaving dallas for la on february 24th
5.69996e+17,negative, hi im so excited about your 99 lgagtdal deal but ive been trying 2 book since last week amp the page never loads thx
5.69996e+17,positive, you know it need it on my spotify stat guiltypleasures
5.6999e+17,positive, ladygaga carrieunderwood  im lady gaga she is amazing
5.6999e+17,neutral, ladygaga carrieunderwood  carrie
5.6999e+17,neutral, new marketing song  let us know what you think
5.69989e+17,neutral, ladygaga carrieunderwood julie andrews first but lady gaga wowd me last night carrie meh
5.69989e+17,negative, i called a 34 weeks ago about adding 3 flights from 2014 to my elevatethey still havent shown uphelp
5.69988e+17,neutral, ladygaga carrieunderwood all are great  but i have to go with carrieunderwood
5.69987e+17,neutral, ladygaga carrieunderwood sorry mary martin had it first
5.69986e+17,positive, ladygaga carrieunderwood  love all three but you really cant beat the classics
5.69982e+17,neutral, flight 0736 dal to dca 224 210pm tried to check in could not status please
5.69977e+17,negative, heyyyy guyyyys been trying to get through for an hour can someone call me please
5.69974e+17,negative, hi virgin im on hold for 4050 minutes  are there any earlier flights from la to nyc tonight earlier than 1150pm
5.69973e+17,positive, congrats on winning the travelzoo award for best deals from an airline us
5.69967e+17,negative, everything was fine until you lost my bag
5.69962e+17,neutral, need to change reservation have virgin credit card do i need to modify on phone to waive change fee or can i do online
5.6995e+17,neutral, i emailed your customer service team let me know if you need the tracking number
5.69949e+17,neutral, hi i just booked a flight but need to add baggage how can i do this
5.69946e+17,negative, your airline is awesome but your lax loft needs to step up its game 40 for dirty tables and floors
5.69943e+17,positive, not worried its been a great ride in a new plane with great crew all airlines should be like this
5.69942e+17,positive, awesome i flew yall sat morning any way we can correct my bill
5.69941e+17,neutral, or watch some of the best student films in the country at 35000 feet cmfat35000feet
5.6994e+17,neutral, first time flying you all do you have a different ratepolicy for media bags thanks
