id,label
5.69863e+17_1262,neutral
5.6889e+17_10772,neutral
5.67779e+17_4204,negative
5.68948e+17_5491,positive
5.70293e+17_12096,negative
5.70065e+17_12676,negative
5.69945e+17_1061,neutral
5.69262e+17_5197,neutral
5.69515e+17_10159,negative
5.69889e+17_13330,neutral
5.69765e+17_9631,negative
5.69168e+17_5360,neutral
5.68077e+17_3857,neutral
5.68848e+17_2885,negative
5.6878e+17_10927,negative
5.70284e+17_11957,negative
5.70052e+17_4539,neutral
5.68491e+17_11130,negative
5.69546e+17_5011,neutral
5.68966e+17_2660,negative
5.699e+17_7191,neutral
5.69838e+17_13537,negative
5.67824e+17_464,positive
5.68804e+17_2997,positive
5.6994e+17_77,neutral
5.69715e+17_13802,neutral
5.67894e+17_8731,positive
5.68642e+17_8166,positive
5.70307e+17_8976,negative
5.69983e+17_12908,negative
5.69596e+17_14581,negative
5.70296e+17_11930,positive
5.69662e+17_14147,negative
5.70259e+17_23,neutral
5.67879e+17_8741,negative
5.69938e+17_7095,neutral
5.68299e+17_3527,negative
5.69629e+17_1673,neutral
5.69387e+17_7659,positive
5.68809e+17_8075,neutral
5.69266e+17_5191,positive
5.69281e+17_10458,neutral
5.68451e+17_5974,negative
5.68901e+17_2785,negative
5.68849e+17_2883,positive
5.6848e+17_11149,negative
5.69261e+17_2316,neutral
5.69635e+17_14320,negative
5.69934e+17_13131,negative
5.70021e+17_12790,negative
5.70271e+17_12006,negative
5.69624e+17_14380,neutral
5.68978e+17_2637,negative
5.69979e+17_6970,positive
5.68384e+17_11237,negative
5.69243e+17_5237,negative
5.69692e+17_9729,neutral
5.68571e+17_3251,negative
5.69694e+17_13896,negative
5.6774e+17_11815,neutral
5.69942e+17_13087,negative
5.69244e+17_2362,negative
5.69677e+17_1536,negative
5.6792e+17_11576,neutral
5.6813e+17_8597,neutral
5.69954e+17_13036,negative
5.70305e+17_12057,negative
5.69343e+17_10380,negative
5.68583e+17_11042,negative
5.69649e+17_7353,neutral
5.67732e+17_11836,negative
5.69213e+17_2428,negative
5.69322e+17_2190,negative
5.67749e+17_8919,neutral
5.69889e+17_9532,negative
5.67803e+17_11711,positive
5.69668e+17_14093,neutral
5.70288e+17_12107,negative
5.69964e+17_6986,neutral
5.68428e+17_8392,positive
