Issue Type,Summary,Parent,Epic Link,Story Points,Sprint,Labels,Description,Assignee
Epic,EPIC-01: Analyse et Spécifications,,,,Sprint 1,apips-specs,"Analyse des besoins + cahier des charges",,
Epic,EPIC-02: Organisation et Modélisation,,,,Sprint 1,apips-model,"UML + MCD/MPD + planning",,
Epic,EPIC-03: Données et ETL,,,,Sprint 2,apips-data,"Scripts ETL + dataset",,
Epic,EPIC-04: Modèles IA,,,,Sprint 3-4,apips-ml,"Fatigue + Blessures + Clustering + NLP",,
Epic,EPIC-05: Backend API FastAPI,,,,Sprint 5,apips-api,"FastAPI + JWT + endpoints",,
Epic,EPIC-06: Frontend Dashboard,,,,Sprint 6,apips-front,"React dashboard 3 pages",,
Epic,EPIC-07: Déploiement MLOps et Sécurité,,,,Sprint 7-8,apips-ops,"Docker + CI/CD + sécurité",,
Story,US-01: Coach importe données capteurs,EPIC-01,EPIC-01,5,Sprint 1,apips-import,"Import CSV/JSON capteurs",,
Task,TASK-01.01: Rédiger cahier des charges final,US-01,EPIC-01,2,Sprint 1,apips-specs,"Cahier des charges LaTeX 10p",,
Task,TASK-01.02: Créer user stories + critères acceptation,US-01,EPIC-01,1,Sprint 1,apips-specs,"25 US + critères",,
Task,TASK-01.03: Documenter exigences techniques,US-01,EPIC-01,1,Sprint 1,apips-specs,"Tech stack + contraintes",,
Task,TASK-01.04: Définir métriques fatigue (ACWR, player load),US-01,EPIC-01,1,Sprint 1,apips-ml,"Formules + features",,
Story,US-02: Coach voit score fatigue,EPIC-01,EPIC-01,3,Sprint 1,apips-fatigue,"Score fatigue 0-100",,
Task,TASK-01.05: Définir features prédiction blessures,US-02,EPIC-01,1,Sprint 1,apips-ml,"Historique + ACWR + âge",,
Story,US-03: Coach prédiction risque blessure,EPIC-01,EPIC-01,3,Sprint 1,apips-injury,"Classification risque",,
Task,TASK-01.06: Spécifier rôles Coach/Admin + JWT,US-03,EPIC-01,1,Sprint 1,apips-auth,"RBAC + flux auth",,
Story,US-04: Admin gère utilisateurs,EPIC-01,EPIC-01,2,Sprint 1,apips-auth,"JWT + rôles",,
Story,US-05: Architecture claire UML,EPIC-02,EPIC-02,8,Sprint 1,apips-uml,"Cas utilisation + classes + séquences",,
Task,TASK-02.01: Créer diagramme cas d'utilisation UML,US-05,EPIC-02,1,Sprint 1,apips-uml,"2 acteurs + 10 US",,
Task,TASK-02.02: Diagramme classes UML,US-05,EPIC-02,1,Sprint 1,apips-uml,"Player + Session + Metric",,
Task,TASK-02.03: Diagramme séquence import → prédiction,US-05,EPIC-02,1,Sprint 1,apips-uml,"Flux principal",,
Task,TASK-02.04: MCD/MPD base de données,US-05,EPIC-02,2,Sprint 1,apips-db,"5 tables principales",,
Task,TASK-02.05: Configurer board Jira/Trello,US-05,EPIC-02,0.5,Sprint 1,apips-planning,"Import CSV",,
Story,US-06: Planning projet 60j,EPIC-02,EPIC-02,2,Sprint 1,apips-planning,"Board Jira/Trello",,
Task,TASK-02.06: Planning détaillé 60 jours,US-06,EPIC-02,1,Sprint 1,apips-planning,"8 sprints",,
Story,US-07: Import CSV/JSON capteurs,EPIC-03,EPIC-03,8,Sprint 2,apips-etl,"Extraction + validation",,
Task,TASK-03.01: Script extraction CSV/JSON,US-07,EPIC-03,2,Sprint 2,apips-etl,"pandas.read_csv/json",,
Task,TASK-03.02: Validation format + erreurs,US-07,EPIC-03,1,Sprint 2,apips-etl,"Schema validation",,
Task,TASK-03.03: Nettoyage (valeurs manquantes, outliers),US-07,EPIC-03,2,Sprint 2,apips-etl,"IQR + interpolation",,
Task,TASK-03.04: Calcul features (ACWR, player load),US-07,EPIC-03,2,Sprint 2,apips-etl,"Formules sportives",,
Task,TASK-03.05: Génération dataset synthétique,US-07,EPIC-03,2,Sprint 2,apips-data,"Faker + numpy",,
